update_date,target_month,months_ahead,CPI Inflation,Core CPI Inflation,PCE Inflation,Core PCE Inflation
2021-07-26,2021-07,0,0.391434902919012,0.364219636265928,0.315315887048064,0.303731544156776
2021-07-27,2021-06,-1,,,0.693827392462186,0.646923964937458
2021-07-27,2021-07,0,0.391912231584567,0.364219636265928,0.315574903858349,0.303731544156776
2021-07-28,2021-06,-1,,,0.693827392462186,0.646923964937458
2021-07-28,2021-07,0,0.391912231584567,0.364219636265928,0.315574903858349,0.303731544156776
2021-07-29,2021-06,-1,,,0.693827392462186,0.646923964937458
2021-07-29,2021-07,0,0.391912231584567,0.364219636265928,0.315574903858349,0.303731544156776
2021-07-30,2021-07,0,0.391912231584567,0.364219636265928,0.300180385997712,0.290535445206059
2021-08-02,2021-07,-1,0.391912231584567,0.364219636265928,0.300180385997712,0.290535445206059
2021-08-02,2021-08,0,0.318465467009441,0.349506266349876,0.267035909164654,0.289363780821109
2021-08-03,2021-07,-1,0.391912231584567,0.364219636265928,0.300180385997712,0.290535445206059
2021-08-03,2021-08,0,0.400827642922697,0.349506266349876,0.314277269767296,0.289363780821109
2021-08-04,2021-07,-1,0.391912231584567,0.364219636265928,0.300180385997712,0.290535445206059
2021-08-04,2021-08,0,0.400827642922697,0.349506266349876,0.314277269767296,0.289363780821109
2021-08-05,2021-07,-1,0.391912231584567,0.364219636265928,0.300180385997712,0.290535445206059
2021-08-05,2021-08,0,0.400827642922697,0.349506266349876,0.314277269767296,0.289363780821109
2021-08-06,2021-07,-1,0.391912231584567,0.364219636265928,0.300180385997712,0.290535445206059
2021-08-06,2021-08,0,0.400827642922697,0.349506266349876,0.314277269767296,0.289363780821109
2021-08-09,2021-07,-1,0.391912231584567,0.364219636265928,0.300180385997712,0.290535445206059
2021-08-09,2021-08,0,0.400827642922697,0.349506266349876,0.314277269767296,0.289363780821109
2021-08-10,2021-07,-1,0.391912231584567,0.364219636265928,0.300180385997712,0.290535445206059
2021-08-10,2021-08,0,0.406891253647007,0.349506266349876,0.317755240299339,0.289363780821109
2021-08-11,2021-07,-1,,,0.359128388831228,0.252981536203592
2021-08-11,2021-08,0,0.411849261876315,0.346538920879067,0.32081612701039,0.286234288404237
2021-08-12,2021-07,-1,,,0.359128388831228,0.252981536203592
2021-08-12,2021-08,0,0.411849261876315,0.346538920879067,0.32081612701039,0.286234288404237
2021-08-13,2021-07,-1,,,0.359128388831228,0.252981536203592
